cve_mun,mes,year,asegurados
5034,3,2019,319.0
5034,3,2020,355.0
5034,4,2019,317.0
5034,4,2020,271.0
5034,5,2019,327.0
5034,5,2020,268.0
5034,6,2019,294.0
5034,6,2020,255.0
5034,7,2019,360.0
5034,7,2020,295.0
5034,8,2019,397.0
5034,8,2020,292.0
5035,1,2019,59173.0
5035,1,2020,60170.0
5035,2,2019,59317.0
5035,2,2020,60702.0
5035,3,2019,59651.0
5035,3,2020,61273.0
5035,4,2019,59928.0
5035,4,2020,60585.0
5035,5,2019,60109.0
5035,5,2020,60216.0
5035,6,2019,59951.0
5035,6,2020,60353.0
5035,7,2019,60932.0
5035,7,2020,60598.0
5035,8,2019,60550.0
5035,8,2020,60725.0
5036,1,2019,166.0
5036,1,2020,194.0
5036,2,2019,177.0
5036,2,2020,170.0
5036,3,2019,133.0
5036,3,2020,160.0
5036,4,2019,136.0
5036,4,2020,155.0
5036,5,2019,169.0
5036,5,2020,132.0
5036,6,2019,185.0
5036,6,2020,132.0
5036,7,2019,224.0
5036,7,2020,135.0
5036,8,2019,225.0
5036,8,2020,129.0
5037,1,2019,184.0
5037,1,2020,187.0
5037,2,2019,181.0
5037,2,2020,190.0
5037,3,2019,184.0
5037,3,2020,193.0
5037,4,2019,186.0
5037,4,2020,189.0
5037,5,2019,190.0
5037,5,2020,188.0
5037,6,2019,187.0
5037,6,2020,190.0
5037,7,2019,185.0
5037,7,2020,187.0
5037,8,2019,180.0
5037,8,2020,179.0
6001,1,2019,881.0
6001,1,2020,825.0
6001,2,2019,869.0
6001,2,2020,860.0
6001,3,2019,870.0
6001,3,2020,896.0
6001,4,2019,866.0
6001,4,2020,885.0
6001,5,2019,869.0
6001,5,2020,875.0
6001,6,2019,828.0
6001,6,2020,872.0
6001,7,2019,845.0
6001,7,2020,840.0
6001,8,2019,834.0
6001,8,2020,865.0
6002,1,2019,18790.0
6002,1,2020,19107.0
6002,2,2019,18868.0
6002,2,2020,19646.0
6002,3,2019,18943.0
6002,3,2020,19657.0
6002,4,2019,19271.0
6002,4,2020,19559.0
6002,5,2019,19133.0
6002,5,2020,19392.0
6002,6,2019,19082.0
6002,6,2020,19201.0
6002,7,2019,18895.0
6002,7,2020,19017.0
6002,8,2019,19070.0
6002,8,2020,19199.0
6003,1,2019,675.0
6003,1,2020,733.0
6003,2,2019,647.0
6003,2,2020,767.0
6003,3,2019,628.0
6003,3,2020,707.0
6003,4,2019,629.0
6003,4,2020,753.0
6003,5,2019,633.0
6003,5,2020,791.0
6003,6,2019,652.0
6003,6,2020,802.0
6003,7,2019,656.0
6003,7,2020,799.0
6003,8,2019,675.0
6003,8,2020,807.0
6004,1,2019,486.0
6004,1,2020,515.0
6004,2,2019,489.0
6004,2,2020,531.0
6004,3,2019,494.0
6004,3,2020,514.0
6004,4,2019,513.0
6004,4,2020,478.0
6004,5,2019,517.0
6004,5,2020,452.0
6004,6,2019,516.0
6004,6,2020,451.0
6004,7,2019,520.0
6004,7,2020,450.0
6004,8,2019,484.0
6004,8,2020,457.0
6006,1,2019,99.0
6006,1,2020,105.0
6006,2,2019,103.0
6006,2,2020,103.0
6006,3,2019,104.0
6006,3,2020,97.0
6006,4,2019,102.0
6006,4,2020,154.0
6006,5,2019,89.0
6006,5,2020,139.0
6006,6,2019,94.0
6006,6,2020,85.0
6006,7,2019,91.0
6006,7,2020,98.0
6006,8,2019,89.0
6006,8,2020,100.0
6007,1,2019,17932.0
6007,1,2020,19237.0
6007,2,2019,18154.0
6007,2,2020,19510.0
6007,3,2019,18292.0
6007,3,2020,19375.0
6007,4,2019,18489.0
6007,4,2020,19106.0
6007,5,2019,18228.0
6007,5,2020,18984.0
6007,6,2019,18569.0
6007,6,2020,18980.0
6007,7,2019,18424.0
6007,7,2020,19021.0
6007,8,2019,18852.0
6007,8,2020,19034.0
6009,1,2019,6387.0
6009,1,2020,6623.0
6009,2,2019,6399.0
6009,2,2020,6640.0
6009,3,2019,6400.0
6009,3,2020,6669.0
6009,4,2019,6589.0
6009,4,2020,6508.0
6009,5,2019,6496.0
6009,5,2020,6454.0
6009,6,2019,6421.0
6009,6,2020,6468.0
6009,7,2019,6576.0
6009,7,2020,6523.0
6009,8,2019,6504.0
6009,8,2020,6643.0
6010,1,2019,6341.0
6010,1,2020,6572.0
6010,2,2019,6246.0
6010,2,2020,6667.0
6010,3,2019,6202.0
6010,3,2020,6600.0
6010,4,2019,6243.0
6010,4,2020,6393.0
6010,5,2019,6237.0
6010,5,2020,6344.0
6010,6,2019,6318.0
6010,6,2020,6385.0
6010,7,2019,6448.0
6010,7,2020,6466.0
6010,8,2019,6431.0
6010,8,2020,6445.0
7001,1,2019,46.0
7001,1,2020,52.0
7001,2,2019,44.0
7001,2,2020,50.0
7001,3,2019,53.0
7001,3,2020,51.0
7001,4,2019,51.0
7001,4,2020,54.0
7001,5,2019,51.0
7001,5,2020,52.0
7001,6,2019,50.0
7001,6,2020,55.0
7001,7,2019,53.0
7001,7,2020,56.0
7001,8,2019,52.0
7001,8,2020,56.0
7002,1,2019,177.0
7002,1,2020,165.0
7002,2,2019,178.0
7002,2,2020,182.0
7002,3,2019,177.0
7002,3,2020,224.0
7002,4,2019,178.0
7002,4,2020,173.0
7002,5,2019,176.0
7002,5,2020,168.0
7002,6,2019,205.0
7002,6,2020,170.0
7002,7,2019,224.0
7002,7,2020,176.0
7002,8,2019,222.0
7002,8,2020,173.0
7003,1,2019,214.0
7003,1,2020,143.0
7003,2,2019,213.0
7003,2,2020,122.0
7003,3,2019,230.0
7003,3,2020,120.0
7003,4,2019,244.0
7003,4,2020,130.0
7003,5,2019,247.0
7003,5,2020,126.0
7003,6,2019,261.0
7003,6,2020,137.0
7003,7,2019,250.0
7003,7,2020,130.0
7003,8,2019,246.0
7003,8,2020,115.0
7004,1,2019,28.0
7004,1,2020,49.0
7004,2,2019,24.0
7004,2,2020,41.0
7004,3,2019,24.0
7004,3,2020,23.0
7004,4,2019,22.0
7004,4,2020,22.0
7004,5,2019,22.0
7004,5,2020,19.0
7004,6,2019,58.0
7004,6,2020,18.0
7004,7,2019,65.0
7004,7,2020,19.0
7004,8,2019,57.0
7004,8,2020,25.0
7005,1,2020,27.0
7005,2,2020,31.0
7005,3,2020,17.0
7005,4,2020,19.0
7005,5,2020,24.0
7005,6,2020,24.0
7005,7,2020,22.0
7005,8,2019,9.0
7005,8,2020,23.0
7006,1,2019,12.0
7006,1,2020,28.0
7006,2,2019,14.0
7006,2,2020,40.0
7006,3,2019,17.0
7006,3,2020,28.0
7006,4,2019,17.0
7006,4,2020,25.0
7006,5,2019,16.0
7006,5,2020,30.0
7006,6,2019,15.0
7006,6,2020,41.0
7006,7,2019,16.0
7006,7,2020,42.0
7006,8,2019,12.0
7006,8,2020,48.0
7007,1,2020,38.0
7007,2,2019,1.0
7007,2,2020,35.0
7007,3,2019,1.0
7007,3,2020,36.0
7007,4,2019,1.0
7007,4,2020,39.0
7007,5,2019,10.0
7007,5,2020,46.0
7007,6,2019,10.0
7007,6,2020,49.0
7007,7,2019,3.0
7007,7,2020,50.0
7007,8,2019,3.0
7007,8,2020,45.0
7008,1,2019,124.0
7008,1,2020,132.0
7008,2,2019,123.0
7008,2,2020,133.0
7008,3,2019,117.0
7008,3,2020,137.0
7008,4,2019,120.0
7008,4,2020,156.0
7008,5,2019,119.0
7008,5,2020,171.0
7008,6,2019,127.0
7008,6,2020,169.0
7008,7,2019,132.0
7008,7,2020,174.0
7008,8,2019,130.0
7008,8,2020,170.0
7009,1,2019,1156.0
7009,1,2020,1305.0
7009,2,2019,1171.0
7009,2,2020,1375.0
